Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
0,The Paducah Sun,03-21-1901,3,"Paducah, Kentucky"
1,The Paducah Sun,04-23-1901,3,"Paducah, Kentucky"
2,The Paducah Sun,04-05-1901,3,"Paducah, Kentucky"
3,The Paducah Sun,03-28-1901,2,"Paducah, Kentucky"
4,The Washington Times,04-09-1923,1,"Washington, District Of Columbia"
5,The Paducah Sun,04-10-1901,2,"Paducah, Kentucky"
6,The Paducah Sun,04-06-1901,2,"Paducah, Kentucky"
7,The Butte Daily Bulletin,09-26-1919,2,"Butte, Montana"
8,The Paducah Sun,04-08-1901,2,"Paducah, Kentucky"
9,Tonopah Daily Bonanza,12-06-1910,3,"Tonopah, Nevada"
10,The Paducah Sun,03-22-1901,3,"Paducah, Kentucky"
11,The Paducah Sun,04-03-1901,2,"Paducah, Kentucky"
12,The Washington Times,11-29-1929,25,"Washington, District Of Columbia"
13,The Paducah Sun,03-26-1901,2,"Paducah, Kentucky"
14,The Paducah Sun,04-09-1901,2,"Paducah, Kentucky"
15,Tonopah Daily Bonanza,03-20-1920,3,"Tonopah, Nevada"
16,The Patriot,10-20-1922,7,"Glenmora, Louisiana"
17,The Coconino Sun,02-13-1908,4,"Flagstaff, Arizona"
18,The Paducah Sun,04-11-1901,2,"Paducah, Kentucky"
19,The Paducah Sun,04-04-1901,2,"Paducah, Kentucky"
20,The Butte Daily Bulletin,05-19-1919,5,"Butte, Montana"
21,The Chickasha Daily Express,10-03-1922,8,"Chickasha, Oklahoma"
22,Tonopah Daily Bonanza,01-06-1909,3,"Tonopah, Nevada"
23,Evening Journal,09-04-1918,3,"Wilmington, Delaware"
24,Evening Star,03-09-1901,8,"Washington, District Of Columbia"
25,The Washington Times,08-06-1930,1,"Washington, District Of Columbia"
26,The Kevin Review,07-07-1927,6,"Kevin, Montana"
27,The Evening Herald,06-08-1899,3,"Shenandoah, Pennsylvania"
28,The Goldfield News And Weekly Tribune,01-23-1915,2,"Goldfield, Nevada"
29,The Washington Times,03-20-1930,30,"Washington, District Of Columbia"
30,Plentywood Herald,07-08-1927,6,"Plentywood, Montana"
31,The Scranton Tribune,06-02-1899,8,"Scranton, Pennsylvania"
32,The Madison Daily Leader,01-26-1910,1,"Madison, South Dakota"
33,The Guthrie Daily Leader,07-31-1900,7,"Guthrie, Oklahoma"
34,The Paducah Sun,03-29-1901,2,"Paducah, Kentucky"
35,The Hartford Herald,09-17-1913,8,"Hartford, Kentucky"
36,The Central Record,11-27-1919,8,"Lancaster, Kentucky"
37,The Bamberg Herald,08-03-1911,7,"Bamberg, South Carolina"
38,The Vinita Daily Chieftain,06-28-1909,1,"Vinita, Oklahoma"
39,Evening Star,04-16-1925,36,"Washington, District Of Columbia"
40,Evening Star,07-15-1930,26,"Washington, District Of Columbia"
41,Evening Star,11-13-1928,24,"Washington, District Of Columbia"
42,The Morning Tulsa Daily World,06-04-1922,51,"Tulsa, Oklahoma"
43,The White Pine News,04-17-1909,4,"Ely, Nevada"
44,The White Pine News,04-20-1909,3,"Ely, Nevada"
45,Paducah Sun,03-28-1901,6,"Paducah, Kentucky"
46,Los Angeles Herald,10-15-1890,5,"Los Angeles, California"
47,Evening Star,10-10-1928,30,"Washington, District Of Columbia"
48,Las Vegas Age,08-03-1907,1,"Las Vegas, Nevada"
49,Carson City Daily Appeal,06-24-1910,3,"Carson City, Nevada"
50,The Washington Times,06-01-1925,1,"Washington, District Of Columbia"
51,Tonopah Daily Bonanza,09-19-1911,1,"Tonopah, Nevada"
52,Evening Star,01-30-1924,1,"Washington, District Of Columbia"
53,Morning Appeal,12-30-1894,3,"Carson City, Nevada"
54,The Pioche Weekly Record,07-16-1896,2,"Pioche, Nevada"
55,The Daily Worker,04-16-1924,1,"New York', 'Chicago, New York', 'Illinois"
56,Carson City Daily Appeal,05-16-1910,4,"Carson City, Nevada"
57,Evening Star,04-18-1930,7,"Washington, District Of Columbia"
58,The Coconino Sun,03-12-1898,19,"Flagstaff, Arizona"
59,Mohave County Miner,06-08-1901,3,"Mineral Park, Arizona"
60,Evening Star,05-13-1930,24,"Washington, District Of Columbia"
61,Arizona Republican,01-18-1896,1,"Phoenix, Arizona"
62,Los Angeles Herald,02-03-1909,1,"Los Angeles, California"
63,The Daily Missoulian,04-19-1909,1,"Missoula, Montana"
64,The Daily Ardmoreite,03-10-1915,4,"Ardmore, Oklahoma"
65,Great Falls Tribune,10-13-1922,1,"Great Falls, Montana"
66,Evening Star,11-24-1926,17,"Washington, District Of Columbia"
67,Evening Star,04-20-1901,25,"Washington, District Of Columbia"
68,Daily Kennebec Journal,03-14-1905,5,"Augusta, Maine"
69,The Coconino Sun,05-13-1899,19,"Flagstaff, Arizona"
70,The Marion Daily Mirror,10-11-1909,2,"Marion, Ohio"
71,The Silver State,08-13-1902,3,"Unionville', 'Winnemucca, Nevada"
72,Tonopah Daily Bonanza,06-20-1917,1,"Tonopah, Nevada"
73,The Herald,08-19-1895,12,"Los Angeles, California"
74,The Pioche Record,08-08-1919,2,"Pioche, Nevada"
75,The Chickasha Daily Express,11-06-1922,1,"Chickasha, Oklahoma"
76,The Omaha Morning Bee,08-08-1923,5,"Omaha, Nebraska"
77,Evening Star,06-13-1930,9,"Washington, District Of Columbia"
78,Great Falls Tribune,02-15-1922,1,"Great Falls, Montana"
79,The Hattiesburg News,06-04-1910,3,"Hattiesburg, Mississippi"
80,The Dillon Herald,08-28-1919,2,"Dillon, South Carolina"
81,Richmond Daily Register,02-10-1920,6,"Richmond, Kentucky"
82,Durant Weekly News,01-15-1915,1,"Durant, Oklahoma"
83,The Middleburgh Post,11-28-1901,6,"Middleburg, Pennsylvania"
84,Jerome Mining News,08-10-1903,1,"Jerome, Arizona"
85,The Washington Times,05-22-1922,8,"Washington, District Of Columbia"
86,Carrizozo News,12-08-1911,1,"Carrizozo, New Mexico"
87,The San Francisco Call,11-23-1901,9,"San Francisco, California"
88,The Daily Ardmoreite,10-09-1901,5,"Ardmore, Oklahoma"
89,The Paducah Sun,04-02-1901,2,"Paducah, Kentucky"
90,The Scranton Tribune,06-29-1899,3,"Scranton, Pennsylvania"
91,The Evening Herald,06-05-1899,4,"Shenandoah, Pennsylvania"
92,The Evening Herald,04-23-1898,4,"Shenandoah, Pennsylvania"
93,The Washington Times,04-26-1927,8,"Washington, District Of Columbia"
94,The Herald,10-01-1895,7,"Los Angeles, California"
95,The Coconino Sun,10-19-1923,8,"Flagstaff, Arizona"
96,The Hocking Sentinel,05-08-1902,4,"Logan, Ohio"
97,The Hattiesburg News,06-03-1910,3,"Hattiesburg, Mississippi"
98,The Hattiesburg News,06-08-1910,3,"Hattiesburg, Mississippi"
99,Evening Times-Republican,04-17-1917,10,"Marshalltown, Iowa"
100,Los Angeles Herald,05-31-1910,9,"Los Angeles, California"
101,The Holbrook News,04-25-1919,4,"Holbrook, Arizona"
102,Mohave County Miner,06-15-1901,3,"Mineral Park, Arizona"
103,Carson City Daily Appeal,06-13-1910,3,"Carson City, Nevada"
104,The Coconino Sun,11-05-1898,17,"Flagstaff, Arizona"
105,The Hawaiian Star,08-20-1910,10,"Honolulu, Hawaii"
106,The Herald,10-06-1895,7,"Los Angeles, California"
107,The Holbrook News,06-04-1909,7,"Holbrook, Arizona"
108,Evening Star,02-07-1930,3,"Washington, District Of Columbia"
109,The Herald,01-03-1897,13,"Los Angeles, California"
110,Arizona Republican,10-02-1895,4,"Phoenix, Arizona"
111,The Public Ledger,03-12-1915,3,"Maysville, Kentucky"
112,Carson City Daily Appeal,06-17-1910,3,"Carson City, Nevada"
113,Carson City Daily Appeal,06-22-1910,3,"Carson City, Nevada"
114,Omaha Daily Bee,03-25-1895,5,"Omaha, Nebraska"
115,The Washington Times,02-12-1930,3,"Washington, District Of Columbia"
116,Arizona Daily Citizen,03-09-1901,2,"Tucson, Arizona"
117,Arizona Daily Citizen,03-05-1901,2,"Tucson, Arizona"
118,Evening Star,01-14-1929,1,"Washington, District Of Columbia"
119,West Virginia Daily Oil Review,09-03-1898,3,"Sistersville, West Virginia"
120,Macon Beacon,12-06-1912,2,"Macon, Mississippi"
121,The Pioche Weekly Record,10-07-1897,2,"Pioche, Nevada"
122,The Silver State,05-17-1900,4,"Unionville', 'Winnemucca, Nevada"
123,Newark Leader,04-10-1925,3,"Newark, Ohio"
124,The Morning Tulsa Daily World,08-08-1920,27,"Tulsa, Oklahoma"
125,The Daily Alaska Empire,01-14-1929,3,"Juneau, Alaska"
126,The Coconino Sun,10-05-1901,6,"Flagstaff, Arizona"
127,The Alaska Daily Empire,03-22-1926,5,"Juneau, Alaska"
128,The Houston Daily Post,04-28-1901,29,"Houston, Texas"
129,Carson City Daily Appeal,06-15-1910,3,"Carson City, Nevada"
130,The Evening Herald,06-29-1899,3,"Shenandoah, Pennsylvania"
131,Harrisburg Telegraph,05-18-1916,4,"Harrisburg, Pennsylvania"
132,Los Angeles Herald,04-04-1892,7,"Los Angeles, California"
133,The Minneapolis Journal,03-09-1901,24,"Minneapolis, Minnesota"
134,Mesa Free Press,10-08-1897,2,"Mesa, Arizona"
135,Daily Inter Mountain,10-16-1899,7,"Butte, Montana"
136,Bisbee Daily Review,10-25-1903,5,"Bisbee, Arizona"
137,The Washington Times,04-10-1915,1,"Washington, District Of Columbia"
138,The Coconino Sun,09-29-1900,16,"Flagstaff, Arizona"
139,The Washington Times,11-20-1929,17,"Washington, District Of Columbia"
140,Evening Star,09-29-1922,36,"Washington, District Of Columbia"
141,The Argus,01-29-1898,1,"Holbrook, Arizona"
142,Holbrook Argus,03-08-1902,2,"Holbrook, Arizona"
143,The Coconino Sun,10-05-1901,4,"Flagstaff, Arizona"
144,Arizona Republican,03-03-1896,1,"Phoenix, Arizona"
145,The Argus,03-12-1898,1,"Holbrook, Arizona"
146,The Washington Times,01-28-1923,52,"Washington, District Of Columbia"
147,The Kevin Review,08-12-1926,1,"Kevin, Montana"
148,The San Francisco Call,10-24-1895,4,"San Francisco, California"
149,Arizona State Miner,05-30-1925,8,"Wickenburg, Arizona"
150,The Ronan Pioneer,08-17-1923,3,"Ronan, Montana"
151,The Washington Herald,09-29-1912,2,"Washington, District Of Columbia"
152,Evening Star,03-27-1915,8,"Washington, District Of Columbia"
153,El Paso Herald,07-20-1920,14,"El Paso, Texas"
154,The Coconino Sun,09-08-1900,12,"Flagstaff, Arizona"
155,Arizona Republican,05-31-1903,2,"Phoenix, Arizona"
156,The Oasis,02-13-1897,2,"Arizola', 'Benson', 'Nogales, Arizona"
157,The Argus,11-27-1897,1,"Holbrook, Arizona"
158,The Tulsa Star,10-02-1920,7,"Tulsa, Oklahoma"
159,The Citizen,07-02-1914,4,"Berea, Kentucky"
160,The Evening Bulletin,12-06-1890,2,"Maysville, Kentucky"
161,Bisbee Daily Review,07-05-1914,16,"Bisbee, Arizona"
162,The Hattiesburg News,06-14-1910,3,"Hattiesburg, Mississippi"
163,Evening Star,11-23-1930,15,"Washington, District Of Columbia"
164,The Helena Independent,02-14-1890,6,"Helena, Montana"
165,The Philipsburg Mail,08-31-1900,2,"Philipsburg, Montana"
166,The Western News,07-18-1906,6,"Hamilton', 'Stevensville, Montana"
167,The Hattiesburg News,05-25-1910,6,"Hattiesburg, Mississippi"
168,The Washington Times,04-09-1930,1,"Washington, District Of Columbia"
169,The Argus,01-01-1898,1,"Holbrook, Arizona"
170,The White Pine News,10-23-1897,2,"East Ely', 'Treasure City', 'Taylor', 'Ely, Nevada"
171,Arizona Daily Citizen,03-02-1901,2,"Tucson, Arizona"
172,Morning Appeal,07-20-1905,3,"Carson City, Nevada"
173,Los Angeles Herald,01-17-1909,30,"Los Angeles, California"
174,The Daily Worker,01-05-1927,5,"New York', 'Chicago, New York', 'Illinois"
175,The Beatrice Daily Express,01-02-1924,1,"Beatrice, Nebraska"
176,Daily Capital Journal,06-11-1910,3,"Salem, Oregon"
177,Mohave County Miner,07-08-1911,1,"Mineral Park, Arizona"
178,Los Angeles Herald,01-10-1909,1,"Los Angeles, California"
179,The Browning Review,08-17-1923,7,"Browning, Montana"
180,The Kevin Review,08-16-1923,3,"Kevin, Montana"
181,The Argus,04-09-1898,1,"Holbrook, Arizona"
182,Evening Star,01-28-1914,3,"Washington, District Of Columbia"
183,The Wisconsin Weekly Advocate,08-23-1900,4,"Milwaukee, Wisconsin"
184,Weekly Journal-Miner,08-02-1911,1,"Prescott, Arizona"
185,The Alaska Daily Empire,01-05-1924,8,"Juneau, Alaska"
186,The Pioche Weekly Record,05-20-1897,2,"Pioche, Nevada"
187,Los Angeles Herald,01-14-1909,1,"Los Angeles, California"
188,The Republican,09-12-1901,4,"Oakland, Maryland"
189,The Republican,09-05-1901,4,"Oakland, Maryland"
190,The Republican,08-29-1901,4,"Oakland, Maryland"
191,The Republican,08-22-1901,4,"Oakland, Maryland"
192,The Montgomery Advertiser,05-11-1901,9,"Montgomery, Alabama"
193,The Hattiesburg News,05-27-1910,6,"Hattiesburg, Mississippi"
194,The Hattiesburg News,05-16-1910,6,"Hattiesburg, Mississippi"
195,The Star,11-22-1893,6,"Reynoldsville, Pennsylvania"
196,The Scranton Tribune,04-16-1902,5,"Scranton, Pennsylvania"
197,Los Angeles Herald,01-25-1909,10,"Los Angeles, California"
198,Los Angeles Herald,01-17-1909,31,"Los Angeles, California"
199,The Hattiesburg News,05-30-1910,6,"Hattiesburg, Mississippi"
200,El Paso Herald,07-01-1916,29,"El Paso, Texas"
201,Bisbee Daily Review,09-19-1911,1,"Bisbee, Arizona"
202,The Daily Missoulian,10-10-1911,1,"Missoula, Montana"
203,Arizona Republican,12-25-1912,12,"Phoenix, Arizona"
204,The Birmingham Age-Herald,02-16-1923,7,"Birmingham, Alabama"
205,The Washington Times,08-19-1919,1,"Washington, District Of Columbia"
206,Arizona Republican,07-03-1901,2,"Phoenix, Arizona"
207,Daily Kennebec Journal,01-21-1910,12,"Augusta, Maine"
208,Carson City Daily Appeal,06-11-1910,4,"Carson City, Nevada"
209,The Tulsa Star,12-04-1920,4,"Tulsa, Oklahoma"
210,Republican News Item,05-09-1907,2,"Laporte, Pennsylvania"
211,The Paducah Sun,07-07-1903,6,"Paducah, Kentucky"
212,The White Pine News,02-26-1909,3,"Ely, Nevada"
213,The Abbeville Press And Banner,08-19-1919,5,"Abbeville, South Carolina"
214,The Daily Ardmoreite,03-30-1913,4,"Ardmore, Oklahoma"
215,Mohave County Miner,03-28-1903,3,"Mineral Park, Arizona"
216,Bisbee Daily Review,07-26-1914,10,"Bisbee, Arizona"
217,Arizona Republican,06-14-1904,3,"Phoenix, Arizona"
218,Marble Hill Press,03-17-1910,6,"Marble Hill, Missouri"
219,The Arizona Sentinel,04-02-1902,1,"Yuma', 'Arizona City, Arizona"
220,The Hocking Sentinel,08-08-1901,4,"Logan, Ohio"
221,The Copper Era And Morenci Leader,08-22-1913,7,"Clifton, Arizona"
222,The Hattiesburg News,06-07-1910,3,"Hattiesburg, Mississippi"
223,Douglas Daily Dispatch,09-11-1926,5,"Douglas, Arizona"
224,The Hattiesburg News,06-13-1910,7,"Hattiesburg, Mississippi"
225,Carson City Daily Appeal,05-24-1910,4,"Carson City, Nevada"
226,Seward Daily Gateway,12-03-1924,8,"Seward, Alaska"
227,Ajo Copper News,04-11-1925,4,"Ajo, Arizona"
228,The San Francisco Call,04-09-1900,9,"San Francisco, California"
229,The Hattiesburg News,05-14-1910,6,"Hattiesburg, Mississippi"
230,Los Angeles Herald,03-17-1892,8,"Los Angeles, California"
231,The Evening Herald,06-28-1899,3,"Shenandoah, Pennsylvania"
232,Los Angeles Herald,05-01-1910,24,"Los Angeles, California"
233,Los Angeles Herald,04-07-1910,13,"Los Angeles, California"
234,Los Angeles Herald,01-25-1909,11,"Los Angeles, California"
235,Arizona Republican,07-31-1901,2,"Phoenix, Arizona"
236,The Herald,04-23-1896,5,"Los Angeles, California"
237,The Ocala Banner,07-05-1901,6,"Ocala, Florida"
238,San Antonio Light,03-19-1924,2,"San Antonio, Texas"
239,The Silver State,03-08-1910,1,"Winnemucca, Nevada"
240,The Argus,10-02-1897,1,"Holbrook, Arizona"
241,Los Angeles Herald,08-14-1910,42,"Los Angeles, California"
242,The Washington Bee,09-14-1901,5,"Washington, District Of Columbia"
243,The Houston Daily Post,05-05-1901,39,"Houston, Texas"
244,Los Angeles Herald,04-06-1892,10,"Los Angeles, California"
245,The Coconino Sun,04-07-1911,5,"Flagstaff, Arizona"
246,The Daily Alaska Empire,02-19-1927,5,"Juneau, Alaska"
247,The Argus,11-13-1897,1,"Holbrook, Arizona"
248,El Paso Herald,07-18-1910,2,"El Paso, Texas"
249,The Red Cloud Chief,04-07-1921,9,"Red Cloud, Nebraska"
250,Los Angeles Herald,03-25-1892,7,"Los Angeles, California"
251,The Washington Times,12-03-1912,6,"Washington, District Of Columbia"
252,Los Angeles Herald,04-12-1910,12,"Los Angeles, California"
253,Carson City Daily Appeal,06-16-1910,3,"Carson City, Nevada"
254,The Winslow Mail,11-25-1921,1,"Winslow, Arizona"
255,Imperial Valley Press,07-03-1928,2,"El Centro, California"
256,Evening Star,06-06-1927,4,"Washington, District Of Columbia"
257,Los Angeles Herald,09-22-1907,17,"Los Angeles, California"
258,Albuquerque Citizen,04-02-1908,1,"Albuquerque, New Mexico"
259,The Butler County Press,05-04-1923,2,"Hamilton, Ohio"
260,The Marion Daily Mirror,11-02-1911,6,"Marion, Ohio"
261,The Hattiesburg News,05-21-1910,3,"Hattiesburg, Mississippi"
262,Lovelock Tribune,03-17-1910,3,"Lovelock, Nevada"
263,Los Angeles Herald,03-29-1892,10,"Los Angeles, California"
264,The Daily Ardmoreite,02-08-1920,1,"Ardmore, Oklahoma"
265,The Morning Tulsa Daily World,08-26-1921,1,"Tulsa, Oklahoma"
266,Marietta Daily Leader,02-20-1900,2,"Marietta, Ohio"
267,Bisbee Daily Review,06-21-1914,16,"Bisbee, Arizona"
268,The Monmouth Inquirer,09-13-1923,2,"Freehold, New Jersey"
269,Los Angeles Herald,01-10-1909,59,"Los Angeles, California"
270,The Herald,03-24-1898,6,"Los Angeles, California"
271,Bisbee Daily Review,07-14-1922,2,"Bisbee, Arizona"
272,The Herald,03-03-1895,16,"Los Angeles, California"
273,Los Angeles Herald,04-16-1910,13,"Los Angeles, California"
274,Los Angeles Herald,04-02-1892,10,"Los Angeles, California"
275,The San Francisco Call,08-14-1895,3,"San Francisco, California"
276,Arizona Republican,11-14-1901,3,"Phoenix, Arizona"
277,The New Age,12-22-1906,8,"Portland, Oregon"
278,The Pioche Weekly Record,08-04-1897,2,"Pioche, Nevada"
279,The Herald,02-06-1896,1,"Los Angeles, California"
280,The Herald,05-19-1896,8,"Los Angeles, California"
281,The New York Herald,06-12-1921,22,"New York, New York"
282,Los Angeles Herald,04-06-1910,13,"Los Angeles, California"
283,Bisbee Daily Review,08-30-1914,11,"Bisbee, Arizona"
284,The San Francisco Call,09-13-1895,3,"San Francisco, California"
285,The Canton Times,12-28-1894,8,"Canton, Mississippi"
286,Santa Fe New Mexican,04-24-1909,7,"Santa Fe, New Mexico"
287,The Watchman And Southron,07-02-1910,7,"Sumter, South Carolina"
288,The Herald,08-09-1895,7,"Los Angeles, California"
289,The San Francisco Call,10-21-1904,5,"San Francisco, California"
290,The Washington Times,01-30-1916,15,"Washington, District Of Columbia"
291,The Hattiesburg News,06-11-1910,6,"Hattiesburg, Mississippi"
292,Los Angeles Herald,11-22-1907,3,"Los Angeles, California"
293,Iron County Record,08-20-1920,2,"Cedar City, Utah"
294,The San Francisco Call,01-04-1905,5,"San Francisco, California"
295,San Antonio Light,09-04-1925,17,"San Antonio, Texas"
296,Los Angeles Herald,04-03-1910,27,"Los Angeles, California"
297,The Herald,10-16-1898,11,"Los Angeles, California"
298,Los Angeles Herald,03-30-1910,13,"Los Angeles, California"
299,Bisbee Daily Review,05-27-1910,6,"Bisbee, Arizona"
300,Daily Capital Journal,11-08-1912,3,"Salem, Oregon"
301,The Seattle Star,08-28-1919,7,"Seattle, Washington"
302,The Laramie Republican,09-25-1922,7,"Laramie, Wyoming"
303,Weekly Graphic,11-30-1894,2,"Kirksville, Missouri"
304,Pine Bluff Daily Graphic,04-30-1909,6,"Pine Bluff, Arkansas"
305,Arizona Republican,01-08-1911,12,"Phoenix, Arizona"
306,The Alaska Daily Empire,10-31-1924,1,"Juneau, Alaska"
307,The Daily Ardmoreite,03-16-1906,2,"Ardmore, Oklahoma"
308,The Fallon Standard,04-27-1921,8,"Fallon, Nevada"
309,The Guthrie Daily Leader,10-31-1911,3,"Guthrie, Oklahoma"
310,Crittenden Press,04-24-1902,7,"Marion, Kentucky"
311,Semi-Weekly Interior Journal,10-21-1898,3,"Stanford, Kentucky"
312,Tonopah Daily Bonanza,07-30-1919,1,"Tonopah, Nevada"
313,Newark Leader,07-25-1924,4,"Newark, Ohio"
314,Hopkinsville Kentuckian,03-06-1917,2,"Hopkinsville, Kentucky"
315,The Ocala Banner,07-11-1919,1,"Ocala, Florida"
316,Arizona Republican,10-04-1906,4,"Phoenix, Arizona"
317,The Coconino Weekly Sun,06-18-1896,1,"Flagstaff, Arizona"
318,The Border Vidette,01-31-1925,3,"Nogales, Arizona"
319,Carson City Daily Appeal,05-23-1910,4,"Carson City, Nevada"
320,The Evening World,07-18-1922,16,"New York, New York"
321,Los Angeles Herald,04-02-1910,13,"Los Angeles, California"
322,The Hocking Sentinel,08-15-1901,4,"Logan, Ohio"
323,El Paso Herald,05-27-1910,9,"El Paso, Texas"
324,Los Angeles Herald,12-08-1905,15,"Los Angeles, California"
325,Los Angeles Herald,06-05-1910,34,"Los Angeles, California"
326,Las Vegas Age,10-22-1927,6,"Las Vegas, Nevada"
327,Mohave County Miner,08-09-1902,5,"Mineral Park, Arizona"
328,The Herald,08-17-1895,7,"Los Angeles, California"
329,Imperial Valley Press,11-02-1922,2,"El Centro, California"
330,Mesa Free Press,12-03-1897,2,"Mesa, Arizona"
331,The New York Herald,11-25-1920,7,"New York, New York"
332,Tombstone Epitaph,07-16-1922,5,"Tombstone, Arizona"
333,Daily Independent,05-21-1910,2,"Elko, Nevada"
334,Los Angeles Herald,07-25-1909,19,"Los Angeles, California"
335,Great Falls Tribune,04-28-1921,3,"Great Falls, Montana"
336,The Omaha Morning Bee,04-10-1923,7,"Omaha, Nebraska"
337,The North Platte Semi-Weekly Tribune,03-27-1917,3,"North Platte, Nebraska"
338,"Every Evening, Wilmington Daily Commercial",07-11-1921,12,"Wilmington, Delaware"
339,The Sun,10-29-1901,4,"Wilmington, Delaware"
340,The Evening World,09-05-1903,1,"New York, New York"
341,The San Francisco Call,12-17-1895,5,"San Francisco, California"
342,The Guthrie Daily Leader,04-06-1899,2,"Guthrie, Oklahoma"
343,Evening Star,01-08-1929,1,"Washington, District Of Columbia"
344,Las Vegas Age,09-21-1929,1,"Las Vegas, Nevada"
345,The San Francisco Call,09-16-1900,40,"San Francisco, California"
346,The Citizen-Republican,04-20-1905,1,"Scotland', 'Parkston, South Dakota"
347,Daily Kennebec Journal,03-19-1924,10,"Augusta, Maine"
348,Bisbee Daily Review,05-13-1914,3,"Bisbee, Arizona"
349,The Oakley Herald,08-22-1919,1,"Oakley, Idaho"
350,Bisbee Daily Review,12-03-1916,6,"Bisbee, Arizona"
351,The Border Vidette,07-05-1930,3,"Nogales, Arizona"
352,Arizona Republican,07-16-1909,2,"Phoenix, Arizona"
353,Bisbee Daily Review,08-21-1914,3,"Bisbee, Arizona"
354,Daily Arizona Silver Belt,07-14-1908,6,"Globe', 'Miami, Arizona"
355,Los Angeles Herald,03-30-1905,3,"Los Angeles, California"
356,Bisbee Daily Review,11-23-1911,4,"Bisbee, Arizona"
357,Belt Valley Times,10-11-1923,2,"Belt', 'Armington, Montana"
358,Evening Star,06-15-1925,22,"Washington, District Of Columbia"
359,Imperial Valley Press,03-13-1920,5,"El Centro, California"
360,The Washington Times,09-11-1919,11,"Washington, District Of Columbia"
361,The Washington Herald,08-09-1913,2,"Washington, District Of Columbia"
362,Great Falls Tribune,12-20-1922,2,"Great Falls, Montana"
363,The Madison Daily Leader,11-11-1905,3,"Madison, South Dakota"
364,The Pioche Record,11-21-1919,2,"Pioche, Nevada"
365,Keowee Courier,08-20-1919,1,"Walhalla', 'Pickens, South Carolina"
366,Keowee Courier,08-20-1919,2,"Walhalla', 'Pickens, South Carolina"
367,Tulsa Daily World,12-14-1917,3,"Tulsa, Oklahoma"
368,The Daily Ardmoreite,02-28-1911,2,"Ardmore, Oklahoma"
369,Evening Star,04-22-1927,34,"Washington, District Of Columbia"
370,The Alaska Daily Empire,01-02-1924,1,"Juneau, Alaska"
371,Brownsville Herald,10-13-1922,1,"Brownsville, Texas"
372,Daily Capital Journal,05-06-1915,3,"Salem, Oregon"
373,Daily Capital Journal,10-17-1913,5,"Salem, Oregon"
374,The Greenville Times,07-29-1899,7,"Greenville, Mississippi"
375,The Herald,02-09-1896,4,"Los Angeles, California"
376,Daily Capital Journal,08-12-1914,6,"Salem, Oregon"
377,The Watchman And Southron,05-21-1910,8,"Sumter, South Carolina"
378,Fair Play,10-30-1920,2,"Sainte Genevieve, Missouri"
379,East Oregonian : E.O,08-09-1922,7,"Pendleton, Oregon"
380,The Hawaiian Star,04-28-1903,7,"Honolulu, Hawaii"
381,San Antonio Light,01-19-1923,18,"San Antonio, Texas"
382,Daily Capital Journal,12-08-1914,6,"Salem, Oregon"
383,Los Angeles Herald,05-29-1890,6,"Los Angeles, California"
384,The Daily Missoulian,04-11-1917,1,"Missoula, Montana"
385,Weekly Arizona Journal-Miner,05-15-1907,6,"Prescott, Arizona"
386,The San Francisco Call,06-17-1900,20,"San Francisco, California"
387,The Silver Messenger,05-03-1910,5,"Challis, Idaho"
388,The Silver Messenger,06-07-1910,5,"Challis, Idaho"
389,The Silver Messenger,06-14-1910,5,"Challis, Idaho"
390,The Silver Messenger,05-10-1910,5,"Challis, Idaho"
391,The Silver Messenger,06-28-1910,5,"Challis, Idaho"
392,The Silver Messenger,09-06-1910,5,"Challis, Idaho"
393,The Holbrook News,06-18-1909,7,"Holbrook, Arizona"
394,Arizona Republican,12-10-1912,9,"Phoenix, Arizona"
395,The Citizen-Republican,04-27-1905,1,"Scotland', 'Parkston, South Dakota"
396,The Daily Morning Oasis,07-07-1920,1,"Nogales, Arizona"
397,Los Angeles Herald,08-30-1890,8,"Los Angeles, California"
398,Imperial Valley Press,11-16-1925,1,"El Centro, California"
399,Los Angeles Herald,04-26-1906,8,"Los Angeles, California"
400,The Montgomery Advertiser,11-09-1927,2,"Montgomery, Alabama"
401,The San Francisco Call,01-24-1896,3,"San Francisco, California"
402,The Kusko Times,05-30-1925,1,"Takotna', 'Tokotna', 'Mcgrath, Alaska"
403,The San Francisco Call,06-23-1901,19,"San Francisco, California"
404,Los Angeles Herald,09-25-1910,48,"Los Angeles, California"
405,Capital Journal,10-30-1919,6,"Salem, Oregon"
406,The Billings Gazette,03-29-1907,1,"Billings, Montana"
407,The Herald,12-29-1895,4,"Los Angeles, California"
408,Los Angeles Herald,04-04-1910,9,"Los Angeles, California"
409,Grand Rapids Herald-Review,03-05-1898,6,"Grand Rapids, Minnesota"
410,The Silver Messenger,09-20-1910,5,"Challis, Idaho"
411,Carson City Daily Appeal,05-26-1910,4,"Carson City, Nevada"
412,Tonopah Daily Bonanza,04-22-1910,4,"Tonopah, Nevada"
413,Los Angeles Herald,09-08-1907,19,"Los Angeles, California"
414,The Topeka State Journal,02-21-1898,8,"Topeka, Kansas"
415,Yerington Times,05-20-1916,6,"Yerington, Nevada"
416,White Pine News Weekly Mining Review,01-23-1916,2,"East Ely', 'Ely, Nevada"
417,Evening Bulletin,04-14-1911,5,"Honolulu, Hawaii"
418,The Manitowoc Pilot,06-08-1922,3,"Manitowoc, Wisconsin"
