Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
9125,Tombstone Epitaph,11-20-1921,7,"Tombstone, Arizona"
9126,Douglas Daily International,05-03-1919,2,"Douglas, Arizona"
9127,Weekly Journal-Miner,09-20-1911,3,"Prescott, Arizona"
9128,Douglas Daily Dispatch,05-11-1930,1,"Douglas, Arizona"
9129,The Herald,04-24-1894,3,"Los Angeles, California"
9130,Arizona Republican,01-09-1913,9,"Phoenix, Arizona"
9131,The Holbrook News,11-09-1917,1,"Holbrook, Arizona"
9132,Graham Guardian,11-07-1913,3,"Safford, Arizona"
9133,The Daily Star-Mirror,05-10-1923,1,"Moscow, Idaho"
9134,The Benson Signal,12-15-1917,2,"Benson, Arizona"
9135,Douglas Daily Dispatch,12-04-1929,1,"Douglas, Arizona"
9136,Imperial Valley Press,12-11-1925,1,"El Centro, California"
9137,Los Angeles Herald,09-17-1908,9,"Los Angeles, California"
9138,Imperial Valley Press,01-16-1926,1,"El Centro, California"
9139,Imperial Valley Press,01-27-1925,1,"El Centro, California"
9140,Los Angeles Herald,01-21-1908,7,"Los Angeles, California"
9141,Los Angeles Herald,02-12-1908,10,"Los Angeles, California"
9142,Los Angeles Herald,09-19-1907,11,"Los Angeles, California"
9143,Los Angeles Herald,01-24-1908,9,"Los Angeles, California"
9144,The Herald,03-22-1894,11,"Los Angeles, California"
9145,The Buffalo Bulletin,12-22-1927,1,"Buffalo, Wyoming"
9146,Casper Daily Tribune,10-19-1925,2,"Casper, Wyoming"
9147,The Seattle Star,11-13-1924,1,"Seattle, Washington"
9148,Watertown Leader,12-16-1910,2,"Watertown, Wisconsin"
9149,The Seattle Star,03-11-1924,7,"Seattle, Washington"
9150,The Wheatland World,12-22-1916,4,"Wheatland, Wyoming"
9151,The San Francisco Call,06-13-1895,2,"San Francisco, California"
9152,Eagle River Review,03-03-1898,2,"Eagle River, Wisconsin"
9153,Imperial Valley Press,09-24-1926,1,"El Centro, California"
9154,Imperial Valley Press,09-09-1930,1,"El Centro, California"
9155,The Minneapolis Journal,07-08-1901,6,"Minneapolis, Minnesota"
9156,The San Francisco Call,07-14-1912,22,"San Francisco, California"
9157,Imperial Valley Press,09-23-1922,7,"El Centro, California"
9158,Los Angeles Herald,08-30-1906,9,"Los Angeles, California"
9159,Los Angeles Herald,09-13-1908,25,"Los Angeles, California"
9160,The Herald,06-16-1894,7,"Los Angeles, California"
9161,The San Francisco Call,06-07-1901,4,"San Francisco, California"
9162,The San Francisco Call,04-25-1901,5,"San Francisco, California"
9163,Imperial Valley Press,10-17-1912,4,"El Centro, California"
9164,The Herald,04-08-1897,9,"Los Angeles, California"
9165,Imperial Valley Press,11-29-1920,6,"El Centro, California"
9166,Los Angeles Herald,02-06-1908,10,"Los Angeles, California"
9167,Los Angeles Herald,02-07-1908,10,"Los Angeles, California"
9168,Los Angeles Herald,03-31-1906,9,"Los Angeles, California"
9169,Los Angeles Herald,02-22-1906,11,"Los Angeles, California"
9170,Los Angeles Herald,08-23-1906,8,"Los Angeles, California"
9171,Los Angeles Herald,07-21-1908,12,"Los Angeles, California"
9172,Los Angeles Herald,02-15-1910,1,"Los Angeles, California"
9173,The Daily Worker,03-04-1924,3,"New York', 'Chicago, New York', 'Illinois"
9174,The Herald,05-13-1896,5,"Los Angeles, California"
9175,Brownsville Herald,09-05-1930,1,"Brownsville, Texas"
9176,Brownsville Herald,09-05-1930,1,"Brownsville, Texas"
9177,El Paso Herald,06-29-1917,2,"El Paso, Texas"
9178,El Paso Herald,04-30-1919,14,"El Paso, Texas"
9179,Imperial Valley Press,08-11-1924,6,"El Centro, California"
9180,South Bend News-Times,12-21-1923,10,"South Bend, Indiana"
9181,Los Angeles Herald,06-08-1910,6,"Los Angeles, California"
9182,Los Angeles Herald,07-01-1906,29,"Los Angeles, California"
9183,Los Angeles Herald,05-23-1907,8,"Los Angeles, California"
9184,Americus Times-Recorder,10-30-1923,2,"Americus, Georgia"
9185,Arizona Republican,08-04-1893,3,"Phoenix, Arizona"
