Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
The Omaha Morning Bee,08-08-1923,5,Omaha,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_haydenstopdog_ver01/data/sn84024326/00332899557/1923080801/0020.pdf,-96.5357502,42.0922742
The Hattiesburg News,06-04-1910,3,Hattiesburg,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910060401/0561.pdf,-89.3169543,31.3073516
The Dillon Herald,08-28-1919,2,Dillon,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_flopeye_ver01/data/sn86063774/00295861575/1919082801/0222.pdf,-79.3788986,34.3915832
Richmond Daily Register,02-10-1920,6,Richmond,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_dove_ver02/data/sn86069168/00202195271/1920021001/0227.pdf,-84.3008413,37.7241618
Durant Weekly News,01-15-1915,1,Durant,Oklahoma,https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_greer_ver01/data/sn96093062/00237281354/1915011501/0019.pdf,-96.413264,33.9988368
The Middleburgh Post,11-28-1901,6,Middleburg,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_nittany_ver01/data/sn86081895/00280776932/1901112801/1223.pdf,-77.044603,40.7892769
Jerome Mining News,08-10-1903,1,Jerome,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_anthillgarnet_ver04/data/sn94052354/00517018600/1903081001/0442.pdf,-112.1075147,34.7470876
Carrizozo News,12-08-1911,1,Carrizozo,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_agave_ver01/data/sn86063539/00280774637/1911120801/0503.pdf,-105.9963583,33.601967
The San Francisco Call,11-23-1901,9,San Francisco,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quincy_ver01/data/sn85066387/00100478676/1901112301/0398.pdf,-121.6227222,37.0741136
The Hocking Sentinel,05-08-1902,4,Logan,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_delta_ver01/data/sn85038119/0023728642A/1902050801/0442.pdf,-83.7658522,40.3884735
Evening Times-Republican,04-17-1917,10,Marshalltown,Iowa,https://tile.loc.gov/storage-services/service/ndnp/iahi/batch_iahi_letts_ver01/data/sn85049554/0029587725A/1917041701/0474.pdf,-92.9079774,42.0494323
The Holbrook News,04-25-1919,4,Holbrook,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_acacia_ver01/data/sn95060791/00212476328/1919042501/0181.pdf,-110.3243196,34.9169602
The Hawaiian Star,08-20-1910,10,Honolulu,Hawaii,https://tile.loc.gov/storage-services/service/ndnp/hihouml/batch_hihouml_ecru_ver01/data/sn82015415/00237289857/1910082001/0861.pdf,-154.89,19.5541667
The Public Ledger,03-12-1915,3,Maysville,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_copper_ver01/data/sn85038022/00211104065/1915031201/0244.pdf,-83.8071166,38.6193758
Omaha Daily Bee,03-25-1895,5,Omaha,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_alliance_ver01/data/sn99021999/00206539203/1895032501/0973.pdf,-96.5357502,42.0922742
Arizona Daily Citizen,03-09-1901,2,Tucson,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_jeddito_ver01/data/sn87062098/00414217795/1901030901/0226.pdf,-110.7647731,32.151084
